Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S07897	S07898	S07899	S07900	S07901	S07902	S07903	S07904	S07905	S07906	S07907	S07908	S07909	S07910	S07911	S07912	S07913	S07914	S07915	S07916	SQ464_B_0	SQ464_B_1	SQ464_B_2	SQ464_B_3	SQ464_B_4	SQ464_B_5	SQ464_ISTD_0	SQ464_ISTD_1	SQ464_ISTD_2
L-Malic acid	C4H6O5		[M-H]-	12.2	14.2	15.0	0.2	133.0142	133.0134	-6.4	S07898	Yes	13.26	13.18	13.30	0.13	29	32626	39986	30297	20687	31753	19526	19805	22618	29465	24226	24380	31575	16353	32546	28470	15151	21234	21562	29300	23861	39838	35176	26721	19048	19174	14807	37100	21938	12662
L-Methionine	C5H11NO2S		[M+H]+	6.8	8.8	15.0	0.2	150.0583	150.0585	1.2	S07901	Yes	8.21	8.02	8.33	0.30	29	49770	13595	13754	2980	60919	2412	2795	12474	11453	14828	3456	9617	2383	9195	9185	3622	1888	2217	3224	3563	41499	34392	36542	47437	42020	38856	6541	5255	4505
L-Phenylalanine	C9H11NO2		[M+H]+	5.6	7.6	15.0	0.2	166.0863	166.0862	-0.3	S07901	Yes	6.99	6.90	7.04	0.14	29	303340	39386	71696	30510	348558	25668	21094	43233	44651	67097	18075	33937	13988	39306	40893	33714	17945	16188	27179	29446	208796	234444	259193	245031	244595	270401	47372	36684	35995
L-Proline	C5H9NO2		[M+H]+	7.9	9.9	15.0	0.2	116.0706	116.0708	1.7	S07901	Yes	9.41	9.33	9.41	0.08	29	2633472	637552	1025760	278158	3109294	505182	548022	530144	440016	1310622	258835	328628	179352	347140	267293	439611	348717	206076	248354	555615	2662884	2545943	2543010	2451486	2422638	2488547	274757	270063	252312
L-Serine	C3H7NO3		[M+H]+	10.8	12.8	15.0	0.2	106.0499	106.0500	1.2	SQ464_B_5	Yes	12.10	12.06	12.17	0.11	29	393109	68453	80034	19531	226351	75004	23429	44725	133730	344946	37614	76560	9980	109186	82658	20708	9488	17751	46692	147006	304817	353872	340707	393754	311285	400844	98536	122344	92952
L-Threonine	C4H9NO3		[M-H]-	9.5	11.5	15.0	0.2	118.0510	118.0499	-9.0	SQ464_B_1	Yes	10.83	10.77	11.03	0.26	29	14184	2747	7619	2635	12918	2387	2354	6282	7925	10466	2778	3653	7014	13676	16001	7124	5916	9483	11655	14292	39544	40587	38396	32866	30404	35082	11417	12223	9616
L-Tryptophan	C11H12N2O2		[M+H]+	6.8	8.8	15.0	0.2	205.0972	205.0974	1.2	S07897	Yes	8.27	8.06	8.44	0.38	28	32721	4714	9925	3204	30572	8802	2990	4789	10854	13277	3755	2678	0	10221	10544	4577	2980	4250	3048	4432	24001	24370	25324	26901	21766	19053	6937	13558	5232
L-Tyrosine	C9H11NO3		[M+H]+	8.2	10.2	15.0	0.2	182.0812	182.0812	0.2	S07901	Yes	9.58	9.45	9.66	0.21	29	78403	15767	19771	9924	86388	11476	9215	9042	20260	33292	8760	10581	3906	18763	19413	13946	4194	6189	10405	19878	65040	79664	85513	67757	57596	63686	19260	16324	17605
L-Valine	C5H11NO2		[M+H]+	8.3	9.2	15.0	0.2	118.0863	118.0864	1.2	S07901	Yes	9.10	8.86	9.14	0.28	29	695618	174070	165393	103851	821779	113127	91913	140739	111161	310099	77985	102968	63595	106553	98107	91083	56928	84737	67616	133873	557346	635585	613385	640496	644333	641111	106244	83430	76107
N6-Acetyl-L-lysine	C8H16N2O3		[M+H]+	1.9	3.9	15.0	0.2	189.1234	189.1217	-8.8	SQ464_B_4	Yes	3.20	3.17	3.44	0.27	29	19957	57740	27858	61544	64321	39452	48377	73479	53746	77387	82491	53739	12527	20249	12639	10644	24828	15767	15804	9120	66272	80436	74044	76274	97554	93426	74756	82231	88806
N-Acetylglutamic acid	C7H11NO5		[M+H]+	10.3	12.3	15.0	0.2	190.0710	190.0708	-1.1	S07905	Yes	11.20	10.97	11.45	0.48	28	2376	2207	3419	1954	2173	2729	1573	1784	5758	2230	3423	2237	1599	2228	2245	2816	0	2494	1855	2027	2768	2713	2059	1658	1953	2318	1862	1470	2212
N-Acetylglutamine	C7H12N2O4		[M-H]-	6.8	8.8	15.0	0.2	187.0724	187.0731	3.6	S07908	Yes	7.31	7.10	7.31	0.21	10	0	0	4106	0	0	0	4823	0	0	0	0	11775	0	2702	1475	0	1522	0	0	0	0	0	1484	0	0	8154	0	2503	1575
N-Acetyl-L-alanine	C5H9NO3		[M+H]+	6.0	7.0	15.0	0.2	132.0655	132.0657	1.4	S07899	Yes	6.91	6.68	7.00	0.32	29	30530	21140	33163	20307	26457	18632	27012	27909	32283	25402	25422	28327	13644	20247	14825	10815	11878	14306	18279	12398	20768	26029	20200	15908	16372	16366	19565	14339	13889
N-Acetyl-L-methionine	C7H13NO3S		[M+H]+	3.0	5.0	15.0	0.2	192.0689	192.0662	-14.0	S07904	Yes	3.29	3.26	3.36	0.10	4	0	0	0	0	0	0	0	7529	0	0	0	0	0	0	0	0	0	0	0	0	0	7249	0	0	0	7420	0	4803	0
N-Acetyl-L-phenylalanine	C11H13NO3		[M+H]+	2.8	4.0	15.0	0.2	208.0968	208.0966	-1.1	S07908	Yes	3.33	3.24	3.54	0.29	29	29367	45169	37614	30165	46737	37185	35751	35566	31297	32535	43612	54166	27084	43738	31010	31967	26463	23329	22877	24084	10890	19821	12732	14219	16877	23190	8592	16091	11680
N-Acetylornithine	C7H14N2O3		[M+H]+	8.6	10.6	15.0	0.2	175.1077	175.1078	0.5	SQ464_ISTD_0	Yes	10.41	10.16	10.54	0.38	29	3018	3026	3154	2154	2762	2794	2421	2804	2481	3221	2115	3545	2730	4194	2874	2224	1880	1989	2199	2466	3279	3277	2866	2377	2314	2132	6607	4003	2049
N-Acetylserine	C5H9NO4		[M-H]-	7.5	8.5	15.0	0.2	146.0459	146.0451	-5.4	SQ464_B_1	Yes	8.00	7.84	8.21	0.37	29	17003	6205	7321	5148	23217	5221	5706	6126	6105	9123	7154	6583	2452	5603	2665	6452	4098	4881	4950	5262	30863	33243	29887	21326	23633	25403	8168	4800	5773
NAD	C21H28N7O14P2		[Cat]+	9.9	11.9	15.0	0.2	664.1164	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH	C21H29N7O14P2		[M-H]-	9.5	11.5	15.0	0.2	664.1175	664.1173	-0.3	S07898	Yes	10.13	10.13	10.30	0.17	2	0	2820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1423	0	0	0
NADP	C21H29N7O17P3		[Cat]+	12.7	14.7	15.0	0.2	744.0827	744.0867	5.3	SQ464_ISTD_0	Yes	13.25	13.25	13.25	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2374	0	0
NADPH	C21H30N7O17P3		[M-H]-	13.0	15.0	15.0	0.2	744.0838	744.0840	0.2	SQ464_B_0	Yes	13.07	13.07	13.26	0.19	7	0	0	0	0	0	0	0	0	0	1289	0	0	0	0	0	1297	0	0	0	0	2341	1707	0	0	1317	0	0	1618	1424
Niacinamide	C6H6N2O		[M+H]+	3.3	5.3	15.0	0.2	123.0553	123.0554	0.9	S07913	Yes	4.48	4.25	4.73	0.47	29	16876	25788	15082	18784	17057	17939	18224	24860	20301	18251	20454	21037	17405	21576	24840	21536	28610	17491	20124	16753	18850	21154	24851	18543	19566	20064	21514	18665	14655
Nicotinic acid	C6H5NO2		[M-H]-	5.5	7.5	15.0	0.2	122.0248	122.0239	-7.0	S07901	Yes	6.47	6.24	6.72	0.49	29	6119	5357	5908	5008	9980	5300	4836	5208	5057	4643	5564	4252	5008	6217	6286	4490	6880	5523	5345	4412	7566	6476	5517	5221	5141	2328	6473	5835	7297
O-Phosphoethanolamine	C2H8NO4P		[M+H]+	11.4	13.4	15.0	0.2	142.0264	142.0260	-2.6	S07913	Yes	11.97	11.97	11.97	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1593	0	0	0	0	0	0	0	0	0	0	0	0
Ornithine	C5H12N2O2		[M+H]+	17.0	19.0	15.0	0.2	133.0972	133.0971	-0.4	S07901	Yes	17.50	17.48	17.66	0.18	29	379170	126415	154376	45238	537791	152709	61319	98262	183778	238385	163041	124353	18424	64444	106279	21476	27609	40833	79043	94447	70988	109853	139693	143886	72245	122087	40576	76670	39145
Orotic acid	C5H4N2O4		[M-H]-	6.7	8.7	15.0	0.2	155.0098	155.0090	-5.4	S07909	Yes	7.59	7.43	7.72	0.29	21	0	1730	1593	1584	1470	1303	0	0	0	1413	0	1821	2355	1917	1552	1361	1737	1687	1670	2012	0	1518	0	2119	1424	0	1587	1486	1244
Orotidylic acid	C10H13N2O11P		[M+H]+	0.0	30.0	15.0	0.2	369.0330	369.0381	13.9	S07905	Yes	3.16	3.16	3.16	0.00	1	0	0	0	0	0	0	0	0	10868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxidized glutathione	C20H32N6O12S2		[M+H]+	13.5	15.5	15.0	0.2	613.1592	613.1560	-5.3	SQ464_B_0	Yes	14.45	14.22	14.45	0.23	3	2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1395	0	0	0	6089	0	0	0	0	0	0	0	0
Oxoadipic acid	C6H8O5		[M-H]-	7.5	9.5	15.0	0.2	159.0299	159.0307	5.0	SQ464_ISTD_1	Yes	8.34	8.10	8.59	0.49	29	1376	2595	1714	5755	2621	1250	1988	1612	1876	1877	2118	2892	1809	2296	2429	2332	2043	1597	2047	1620	2156	2252	2565	1927	1329	2539	2431	8198	1766
Oxoglutaric acid	C5H6O5		[M-H]-	10.8	14.8	15.0	0.2	145.0142	145.0133	-6.5	S07901	Yes	12.72	12.55	12.81	0.27	29	10301	10792	9869	10598	11232	7323	7354	7019	8294	5305	7144	7596	6468	7801	9721	7165	7996	8384	7972	8059	9726	6874	6448	7150	6650	7478	8912	9278	7771
Palmitic acid	C16H32O2		[M-H]-	1.6	3.6	15.0	0.2	255.2330	255.2325	-1.8	S07898	Yes	2.86	2.83	2.89	0.06	29	60073740	66064744	47020924	49272296	46180848	49117356	58001276	46168524	46271952	51152236	51074420	60425920	39021076	35835696	34360164	31246452	32157714	32234610	32458858	30361680	27384422	26687266	27170748	26781828	26539168	28497538	25053210	25121828	25848348
Pantothenic acid	C9H17NO5		[M+H]+	5.1	7.1	15.0	0.2	220.1180	220.1196	7.5	S07900	Yes	6.00	5.77	6.23	0.47	29	3745	3430	9138	242427	5159	8556	9065	14039	2693	3817	26686	6009	2541	7038	3418	7140	14571	3187	27732	3111	3262	3602	4660	2709	2332	7663	2580	2773	13467
Phenol	C6H6O		[M-H]-	2.1	4.1	15.0	0.2	93.0346	93.0333	-13.9	S07905	Yes	3.72	3.60	3.94	0.34	29	382936	394402	313789	389526	364244	412123	408215	402395	430616	381003	423127	374837	364581	406821	358552	377465	373649	363344	361130	380936	355881	360252	342806	319636	346263	423656	341888	304969	353787
Phosphocreatine	C4H10N3O5P		[M-H]-	11.2	13.2	15.0	0.2	210.0285	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoenolpyruvic acid	C3H5O6P		[M-H]-	13.6	15.6	15.0	0.2	166.9751	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoribosyl pyrophosphate	C5H13O14P3		[M-H]-	15.0	18.0	15.0	0.2	388.9445	388.9434	-3.0	SQ464_B_0	Yes	17.88	17.88	17.88	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432	0	0	0	0	0	0	0	0
Phosphorylcholine	C5H14NO4P		[M+H]+	10.0	13.0	15.0	0.2	184.0733	184.0725	-4.5	SQ464_B_0	Yes	11.92	11.85	12.13	0.28	17	0	1525	1462	1360	3044	0	0	1481	0	1549	0	3062	1042	0	0	0	1666	0	1329	1366	3622	2056	1364	1453	0	0	3357	1671	0
Phosphoserine	C3H8NO6P		[M+H]+	11.5	13.5	15.0	0.2	186.0162	186.0177	8.0	S07916	Yes	12.02	12.02	12.12	0.10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	3112	0	0	0	0	0	0	0	0	0
Pipecolic acid	C6H11NO2		[M+H]+	7.5	9.5	15.0	0.2	130.0863	130.0867	3.4	SQ464_B_0	Yes	8.84	8.67	9.08	0.41	29	49727	52815	41928	43054	45937	43968	47645	47455	48135	41674	43797	49739	55821	46266	48250	56181	51342	47705	48223	43345	71258	59732	40592	44048	47325	55504	55175	53020	53006
Propionylcarnitine	C10H19NO4		[M+H]+	5.2	7.2	15.0	0.2	218.1387	218.1379	-3.6	S07900	Yes	6.00	5.78	6.24	0.46	29	12577	8173	10355	60724	10494	9305	10826	10266	8347	7711	11019	10942	8102	9602	12429	8525	10841	7808	7996	8048	11106	9788	10050	7894	6472	9002	8501	8629	9713
Pyruvic acid	C3H4O3		[M-H]-	5.5	7.5	15.0	0.2	87.0088	87.0075	-14.6	SQ464_B_0	Yes	6.02	5.95	6.13	0.18	29	48620	34076	45145	32993	44152	33483	42578	47019	37601	43192	44018	45067	34094	52378	48894	34888	41736	46573	30578	30953	83542	62968	50214	43733	45078	39752	44272	35932	37686
Ribose 1-phosphate	C5H11O8P		[M-H]-	11.0	12.4	15.0	0.2	229.0119	229.0144	11.0	S07897	Yes	12.32	12.32	12.32	0.00	1	1674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine	C11H20N2O6		[M-H]-	11.0	14.0	15.0	0.2	275.1249	275.1275	9.6	SQ464_B_2	Yes	12.55	12.55	12.59	0.04	3	0	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1644	0	1204	0	0	0	0
S-Adenosylhomocysteine	C14H20N6O5S		[M-H]-	8.6	10.6	15.0	0.2	383.1143	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S-Adenosylmethionine	C15H22N6O5S		[M+H]+	10.7	12.7	15.0	0.2	399.1445	399.1415	-7.6	S07912	Yes	11.42	11.42	11.42	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcosine	C3H7NO2		[M+H]+	11.2	12.0	15.0	0.2	90.0550	90.0555	6.0	S07901	Yes	11.21	11.20	11.26	0.06	29	468124	108248	153512	48947	538654	57901	53304	88415	107464	262002	45939	42528	20636	45614	51755	48622	23423	26498	29560	101799	329599	378323	365835	335824	323412	328909	78996	40618	53489
Succinic acid	C4H6O4		[M-H]-	11.3	13.3	15.0	0.2	117.0193	117.0181	-10.5	S07908	Yes	11.35	11.31	11.59	0.28	29	92795	146790	116756	89480	143434	70307	58687	79321	132160	136806	174869	236473	14282	19886	18346	13973	17126	16969	15215	13215	27535	19524	14913	14418	12073	13794	19979	17217	15779
Taurine	C2H7NO3S		[M-H]-	10.2	12.2	15.0	0.2	124.0074	124.0064	-8.0	S07901	Yes	11.50	11.32	11.69	0.38	23	2760	2661	5487	4321	6899	2547	2438	1284	1582	1887	1979	0	0	1624	1938	1330	1838	0	0	1380	5443	2240	2985	2587	1951	5405	0	0	1182
Thymidine	C10H14N2O5		[M-H]-	3.5	5.5	15.0	0.2	241.0830	241.0824	-2.5	SQ464_B_0	Yes	5.43	5.19	5.43	0.24	29	34599	37818	21578	23399	35785	40426	37329	23686	10946	40731	39259	27512	28559	31899	53282	40532	29694	34104	37124	33279	64724	46493	23680	35966	55332	48048	53125	32061	33250
Uracil	C4H4N2O2		[M+H]+	5.4	7.4	15.0	0.2	113.0346	113.0347	1.3	SQ464_B_0	Yes	6.85	6.74	7.03	0.29	29	7756	2496	7279	2348	7900	3604	1852	2111	3024	2667	3906	3822	1742	3909	2849	2186	2799	3013	3078	3365	10394	9110	3433	2529	1964	2582	4620	3067	2295
Ureidopropionic acid	C4H8N2O3		[M-H]-	10.4	12.4	15.0	0.2	131.0462	131.0451	-8.5	S07901	Yes	11.70	11.56	11.77	0.20	28	6781	2216	2293	967	8698	1273	1518	2025	2746	5661	1923	2470	0	2414	2585	1290	1338	1524	2763	1974	3384	7111	6417	6040	7106	6522	2723	2605	2203
Ureidosuccinic acid	C5H8N2O5		[M-H]-	12.8	14.8	15.0	0.2	175.0360	175.0343	-10.0	SQ464_B_0	Yes	13.96	13.92	14.06	0.14	3	1201	0	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1612	0	0	0	0	0	0	0	0
Uric acid	C5H4N4O3		[M+H]+	8.8	10.8	15.0	0.2	169.0356	169.0381	14.7	SQ464_B_5	Yes	10.73	10.73	10.73	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7683	0	0	0
Uridine	C9H12N2O6		[M-H]-	5.5	7.5	15.0	0.2	243.0623	243.0619	-1.5	SQ464_B_0	Yes	6.84	6.83	6.95	0.13	29	27876	21054	36036	18044	39172	16646	14695	19013	30595	16177	33748	42622	15257	45633	36896	13916	14839	18896	28931	22386	77245	56156	23401	19625	14950	13207	56221	24361	17311
Uridine 5'-diphosphate	C9H14N2O12P2		[M+H]+	12.4	14.4	15.0	0.2	405.0095	405.0116	5.2	SQ464_B_1	Yes	12.48	12.48	12.73	0.24	5	0	0	0	0	0	0	0	0	1493	0	1448	0	0	1919	0	0	0	0	0	0	0	1957	0	0	1458	0	0	0	0
Uridine 5'-monophosphate	C9H13N2O9P		[M-H]-	11.2	13.2	15.0	0.2	323.0286	323.0276	-3.1	SQ464_B_0	Yes	11.35	11.26	11.44	0.18	29	6367	2871	6219	2442	9747	1688	1553	2486	5853	5863	7155	7950	1872	10205	9110	2155	2448	6021	6209	6204	18478	12473	6780	5128	1810	1939	16424	5312	5137
Uridine diphosphate glucose	C15H24N2O17P2		[M-H]-	12.4	14.4	15.0	0.2	565.0478	565.0555	13.7	SQ464_ISTD_1	Yes	13.47	13.47	13.47	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1453	0
Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2		[M+H]+	11.2	13.2	15.0	0.2	608.0889	608.0948	9.8	S07913	Yes	12.30	12.25	12.39	0.14	3	0	0	0	1410	0	1128	0	0	0	0	0	0	0	0	0	0	1467	0	0	0	0	0	0	0	0	0	0	0	0
Uridine triphosphate	C9H15N2O15P3		[M-H]-	15.0	18.0	15.0	0.2	482.9613	482.9629	3.4	SQ464_B_4	Yes	16.12	16.12	16.12	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	0	0	0	0
Valerylcarnitine	C12H23NO4		[M+H]+	3.6	5.7	15.0	0.2	246.1700	246.1680	-8.1	S07905	Yes	5.40	5.37	5.45	0.08	29	6713	15915	14188	11178	14910	6541	9968	6203	17910	9193	15181	10491	6175	17872	6338	6732	11876	6499	4384	6141	7228	6618	16301	14024	5328	6115	7016	12085	4251
Xanthine	C5H4N4O2		[M-H]-	7.5	9.4	15.0	0.2	151.0261	151.0255	-4.3	SQ464_B_2	Yes	8.56	8.38	8.66	0.28	29	9910	5970	8086	1502	11717	2233	1505	2238	6101	5438	7978	5737	1260	7273	9100	2376	1579	2287	8227	5315	20097	16060	20859	16480	16022	19464	8496	6941	4897
Xanthosine	C10H12N4O6		[M-H]-	6.7	8.7	15.0	0.2	283.0684	283.0682	-0.7	SQ464_ISTD_1	Yes	7.56	7.56	7.56	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1369	0
Xanthylic acid	C10H13N4O9P		[M-H]-	11.0	13.0	15.0	0.2	363.0347	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gamma-Aminobutyric acid	C4H9NO2		[M+H]+	11.0	13.0	15.0	0.2	104.0706	104.0709	2.8	S07916	Yes	11.87	11.63	11.94	0.31	29	713021	4104424	883808	786311	2937594	11563488	1957123	3102599	2737620	628198	2525341	666680	917912	740238	1244029	2110918	4623080	15132069	33248320	87834416	617678	640770	876356	643864	772797	638286	610794	689576	671560
Gamma-Aminobutyric acid-13C-4	C4H9NO2-13C-4	13C[4]	[M+H]+	11.0	13.0	15.0	0.2	108.0840	108.0843	2.5	S07898	Yes	11.86	11.82	11.88	0.06	29	12684930	14172643	13941636	12425750	12284315	12693375	12234954	12004091	12916770	11282808	12990847	13405617	12023592	12776469	14033222	12952253	12075447	13871303	11781615	10792582	757423	1795	1112562	6151	1278871	9022	15799	37548	55059
Acetylcholine	C7H16NO2		[M]+	11.0	14.0	15.0	0.2	146.1176	146.1179	2.4	SQ464_B_0	Yes	11.29	11.05	11.52	0.47	29	3279	3201	5175	5166	5281	4963	6311	3204	4888	3044	3311	3070	6589	6425	3093	2699	7421	7092	7177	7244	10285	3724	5695	3642	3565	7105	6400	3651	6588
Serotonin	C10H12N2O		[M+H]+	23.0	27.0	15.0	0.2	177.1022	177.0997	-14.3	S07907	Yes	26.02	25.78	26.26	0.48	20	1478	0	0	0	1639	0	5208	1892	0	0	9272	0	1824	2289	1828	1519	2231	1540	0	1795	2168	1422	1577	1315	1252	2208	0	1636	1556
Adrenochrome	C9H9NO3		[M+H]+	4.5	6.5	15.0	0.2	180.0655	180.0659	2.1	S07900	Yes	5.42	5.20	5.58	0.38	29	10313	10816	8516	26436	15195	5696	21333	19282	5574	4381	22354	8598	5137	11427	5453	7658	5530	17452	3699	9629	5873	4579	7878	7837	20612	9593	5102	5126	7093
Epinephrine	C9H13NO3		[M+H]+	17.0	21.0	15.0	0.2	184.0968	184.0972	2.1	S07897	Yes	19.23	19.03	19.44	0.41	29	6613	2658	2805	2170	2204	2246	2032	2204	2405	2035	2636	3133	1992	2327	2205	1746	2558	1875	2472	2515	2797	3250	2290	4774	5185	2676	2904	2637	2217
