pvalue,Name,NT +MP 1,NT +MP 2,NT +MP 3,NT +MP 4,sh2 +MP 1,sh2 +MP 2,sh2 +MP 3,sh2 +MP 4,Kegg ID,Ratio,Primary Pathway,,,,,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),HMDB ID,PubChem ID,Kegg ID,Pathway 1,Pathway 2,Pathway 3,,,,,,,,,,,,
0.660327794,Cytidine monophosphate,13315,20202,21070,-,15560,17856,18112,16171,C00055,0.930152784,Pyrimidine metabolism,,,,,Succinic acid,C4H6O4,-,ESI,11.31,13.31,10,0.25,HMDB0000254,1110,C00042,Citrate cycle (TCA cycle),Oxidative phosphorylation,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,
0.687575289,Citric acid,12149484,5314388,34153024,4891117,21672664,9064969,5890978,6492956,C00158,0.763105349,Citrate cycle (TCA cycle),,,,,L-Malic acid,C4H6O5,-,ESI,12.15,14.15,10,0.25,HMDB0000156,222656,C00149,Citrate cycle (TCA cycle),Pyruvate metabolism,,,,,,,,,,,,,
0.698735324,Glucose 6-phosphate,21282,26212,30184,25319,23172,24410,37543,24251,C00668,1.061933843,Glycolysis / Gluconeogenesis,,,,,Creatinine,C4H7N3O,+,ESI,5.24,7.24,10,0.25,HMDB0000562,588,C00791,Arginine and proline metabolism,Energy Metabolism,,,,,,,,,,,,,
0.701654505,Succinic acid,485935,520304,620327,608368,604440,541524,497947,526447,C00042,0.971106082,Citrate cycle (TCA cycle),,,,,L-Aspartic acid,C4H7NO4,-,ESI,10.85,12.85,10,0.25,HMDB0000191,5960,C00049,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,,,,,,,,,,,,,
0.77171122,Carnosine,23919,49179,39874,40716,42419,35289,38066,44995,C00386,1.046073864,Histidine metabolism,,,,,L-Asparagine,C4H8N2O3,+,ESI,10.3,12.3,10,0.25,HMDB0000168,6267,C00152,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,,,
0.798519509,N-Acetylglutamic acid,342858,537501,508361,613729,590948,515594,462854,501597,C00624,1.034230085,Arginine biosynthesis,,,,,Ureidopropionic acid,C4H8N2O3,-,ESI,10.37,12.37,10,0.25,HMDB0000026,111,C02642,Pyrimidine metabolism,beta-Alanine metabolism,,,,,,,,,,,,,
0.888428754,N-Acetyl-L-phenylalanine,23724,40853,22536,31993,32522,41804,19094,29389,C03519,1.031089953,Phenylalanine metabolism,,,,,3-Hydroxybutyric acid,C4H8O3,-,ESI,5.71,7.71,10,0.25,HMDB0000357,441,C01089,Synthesis and degradation of ketone bodies,cAMP signaling pathway,,,,,,,,,,,,,
0.993319127,L-Lysine,1473960,1135832,2729580,1269554,2070798,1223355,-,-,C00047,0.996879977,Lysine biosynthesis,,,,,Homocysteine,C4H9NO2S,-,ESI,7.26,9.26,10,0.25,HMDB0000742,778,C00155,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,
,,-,20710,17883,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Threonine,C4H9NO3,-,ESI,9.54,11.54,10,0.25,HMDB0000167,6288,C00188,"Glycine, serine and threonine metabolism","Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,
,,-,-,13068,15122,-,-,-,13282,,0.942319972,#N/A,,,,,L-Glutamine,C5H10N2O3,+,ESI,10.13,12.13,10,0.25,HMDB0000641,5961,C00064,D-Glutamine and D-glutamate metabolism,Purine metabolism,Energy Metabolism,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Methionine,C5H11NO2S,+,ESI,6.79,8.79,10,0.25,HMDB0000696,6137,C00073,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,
,,10311,14169,13918,-,-,-,-,11248,,0.878795771,#N/A,,,,,Ornithine,C5H12N2O2,+,ESI,15.34,17.34,10,0.25,HMDB0000214,6262,C00077,Arginine biosynthesis,Urea Cycle,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,5-Phosphoribosylamine,C5H12NO7P,-,ESI,11.5,13.5,10,0.25,HMDB0001128,439905,C03090,Purine metabolism,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Phosphoribosyl pyrophosphate,C5H13O14P3,-,ESI,15,18,10,0.25,HMDB0000280,7339,C00119,Pentose phosphate pathway,Purine metabolism,Pyrimidine metabolism,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Choline,C5H13NO,+,ESI,12.09,14.09,10,0.25,HMDB0000097,305,C00114,"Glycine, serine and threonine metabolism",Glycerophospholipid metabolism,Choline Metabolism,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Phosphorylcholine,C5H15NO4P,+,ESI,10.43,12.43,10,0.25,HMDB0001565,1014,C00588,Glycerophospholipid metabolism,Choline Metabolism,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Orotic acid,C5H4N2O4,-,ESI,6.67,8.67,10,0.25,HMDB0000226,967,C00295,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Hypoxanthine,C5H4N4O,+,ESI,5.78,7.78,10,0.25,HMDB0000157,790,C00262,Purine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Xanthine,C5H4N4O2,-,ESI,7.45,9.45,10,0.25,HMDB0000292,1188,C00385,Purine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Uric acid,C5H4N4O3,+,ESI,8.75,10.75,10,0.25,HMDB0000289,1175,C00366,Purine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Adenine,C5H5N5,+,ESI,4.97,6.97,10,0.25,HMDB0000034,190,C00147,Purine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Guanine,C5H5N5O,+,ESI,7.74,9.74,10,0.25,HMDB0000132,764,C00242,Purine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,"4,5-Dihydroorotic acid",C5H6N2O4,-,ESI,7.46,9.46,10,0.25,HMDB0000528,648,C00337,Pyrimidine metabolism,,,,,,,,,,,,,,
,,258391,291727,416452,277603,-,-,-,-,,#DIV/0!,#N/A,,,,,Oxoglutaric acid,C5H6O5,-,ESI,10.8,14.8,10,0.25,HMDB0000208,51,C00026,Citrate cycle (TCA cycle),Pentose and glucuronate interconversions,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Ureidosuccinic acid,C5H8N2O5,-,ESI,12.84,14.84,10,0.25,HMDB0000828,93072,C00438,Pyrimidine metabolism,"Alanine, aspartate and glutamate metabolism",,,,,,,,,,,,,
,,153039,232777,273311,233446,-,-,-,-,,#DIV/0!,#N/A,,,,,D-2-Hydroxyglutaric acid,C5H8O5,-,ESI,11.64,13.64,10,0.25,HMDB0000606,439391,C01087,Oncometabolites,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Proline,C5H9NO2,+,ESI,7.88,9.88,10,0.25,HMDB0000162,145742,C00148,Arginine and proline metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Acetylcysteine,C5H9NO3S,+,ESI,6,8,10,0.25,HMDB0001890,12035,C06809,Sulfur metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Pipecolic acid,C6H11NO2,+,ESI,7.51,9.51,10,0.25,HMDB0000070,849,C00408,Lysine degradation,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Aminoadipic acid,C6H11NO4,-,ESI,5.94,7.94,10,0.25,HMDB0000510,469,C00956,Lysine degradation,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Cystine,C6H12N2O4S2,-,ESI,11.73,13.73,10,0.25,HMDB0000192,67678,C00491,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,D-Glucose,C6H12O6,-,ESI,9.03,11.03,10,0.25,HMDB0000122,5793,C00031,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Citrulline,C6H13N3O3,+,ESI,10.88,12.88,10,0.25,HMDB0000904,9750,C00327,Arginine biosynthesis,Urea Cycle,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,6-Phosphogluconic acid,C6H13O10P,-,ESI,14,17,10,0.25,HMDB0001316,91493,C00345,Pentose phosphate pathway,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,"Fructose 1,6-bisphosphate",C6H14O12P2,-,ESI,14.09,16.09,10,0.25,HMDB0001058,172313,C00354,Glycolysis / Gluconeogenesis,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Nicotinic acid,C6H5NO2,-,ESI,5.47,7.47,10,0.25,HMDB0001488,938,C00253,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Niacinamide,C6H6N2O,+,ESI,3.32,5.32,10,0.25,HMDB0001406,936,C00153,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Phenol,C6H6O,-,ESI,2.13,4.13,10,0.25,HMDB0000228,996,C00146,Tyrosine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,cis-Aconitic acid,C6H6O6,-,ESI,14.12,16.12,10,0.25,HMDB0000072,643757,C00417,Citrate cycle (TCA cycle),,,,,,,,,,,,,,
,,-,-,13711,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Oxoadipic acid,C6H8O5,-,ESI,7.54,9.54,10,0.25,HMDB0000225,71,C00322,Lysine degradation,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Citric acid,C6H8O7,-,ESI,14.25,16.25,10,0.25,HMDB0000094,311,C00158,Citrate cycle (TCA cycle),,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Histidine,C6H9N3O2,+,ESI,9.93,11.93,10,0.25,HMDB0000177,6274,C00135,Histidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,N-Acetylglutamic acid,C7H11NO5,+,ESI,10.31,12.31,10,0.25,HMDB0001138,185,C00624,Arginine biosynthesis,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,51810,,#DIV/0!,#N/A,,,,,N-Acetylglutamine,C7H12N2O4,-,ESI,6.83,8.83,10,0.25,HMDB0006029,25561,-,D-Glutamine and D-glutamate metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,N-Acetyl-L-methionine,C7H13NO3S,+,ESI,3.04,5.04,10,0.25,HMDB0011745,6180,C02712,Sulfur metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,N-Acetylornithine,C7H14N2O3,+,ESI,8.57,10.57,10,0.25,HMDB0003357,439232,C00437,Arginine biosynthesis,Urea Cycle,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Cystathionine,C7H14N2O4S,+,ESI,12.16,14.16,10,0.25,HMDB0000099,439258,C02291,"Glycine, serine and threonine metabolism",Cysteine and methionine metabolism,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Carnitine,C7H15NO3,+,ESI,8.33,10.33,10,0.25,HMDB0000062,2724480,C00318,Fatty acid metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,D-Sedoheptulose 7-phosphate,C7H15O10P,-,ESI,12.17,14.17,10,0.25,HMDB0001068,22833559,C00281,Pentose phosphate pathway,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,1-Methylnicotinamide,C7H8N2O,+,ESI,15.33,17.33,10,0.25,HMDB0000699,457,C02918,Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,N6-Acetyl-L-lysine,C8H16N2O3,+,ESI,1.93,3.93,10,0.25,HMDB0000206,92832,C02727,Lysine degradation,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Phenylalanine,C9H11NO2,+,ESI,5.59,7.59,10,0.25,HMDB0000159,6140,C00079,Phenylalanine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,L-Tyrosine,C9H11NO3,+,ESI,8.21,10.21,10,0.25,HMDB0000158,6057,C00082,Phenylalanine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Uridine,C9H12N2O6,-,ESI,10,13,10,0.25,HMDB0000296,6029,C00299,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Uridine 5'-monophosphate,C9H13N2O9P,-,ESI,11.16,13.16,10,0.25,HMDB0000288,6030,C00105,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Cytidine,C9H13N3O5,+,ESI,7.13,9.13,10,0.25,HMDB0000089,6175,C00475,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Uridine 5'-diphosphate,C9H14N2O12P2,+,ESI,12.42,14.42,10,0.25,HMDB0000295,6031,C00015,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Cytidine monophosphate,C9H14N3O8P,+,ESI,11.77,13.77,10,0.25,HMDB0000095,6131,C00055,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Carnosine,C9H14N4O3,+,ESI,10.62,12.62,10,0.25,HMDB0000033,439224,C00386,Histidine metabolism,beta-Alanine metabolism,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Uridine triphosphate,C9H15N2O15P3,-,ESI,15,18,10,0.25,HMDB0000285,6133,C00075,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,17569,-,-,-,-,-,,#DIV/0!,#N/A,,,,,CDP,C9H15N3O11P2,+,ESI,13.02,15.02,10,0.25,HMDB0001546,6132,C00112,Pyrimidine metabolism,,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Cytidine triphosphate,C9H16N3O14P3,-,ESI,15,20,10,0.25,HMDB0000082,6176,C00063,Pyrimidine metabolism,,,,,,,,,,,,,,
,,10005,-,17379,11767,11633,-,-,-,,0.891394856,#N/A,,,,,L-Acetylcarnitine,C9H17NO4,+,ESI,6.26,8.26,10,0.25,HMDB0000201,1,C02571,Fatty acid metabolism,Choline Metabolism,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Pantothenic acid,C9H17NO5,+,ESI,5.12,7.12,10,0.25,HMDB0000210,988,C00864,beta-Alanine metabolism,Pantothenate and CoA biosynthesis,,,,,,,,,,,,,
,,-,-,-,-,-,-,-,-,,#DIV/0!,#N/A,,,,,Carbamoyl phosphate,CH4NO5P,-,ESI,22.59,24.59,10,0.25,HMDB0001096,278,C00169,Arginine biosynthesis,Urea Cycle,,,,,,,,,,,,,
