Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S10141	S10142	S10143	S10144	S10145	S10146	S10147	S10148	S10149	S10150	S10151	S10152	S10153	S10154	S10155	S10156	S10157	S10158	S10159	S10160	S10161	S10162	SQ564_Blank_0	SQ564_Blank_1	SQ564_Blank_2	SQ564_Blank_3	SQ564_Blank_4	SQ564_Blank_5	SQ564_Blank_6	SQ564_Blank_7	SQ564_LQC_0	SQ564_LQC_1	SQ564_LQC_2	SQ564_LQC_3
"PE 40:5; [M+H]+; GPEtn(16:1(7Z)/24:4(5Z,8Z,11Z,14Z))"-13C,13C-0,18	C45H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.1	18.1	10.0	1.0	812.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 36:1; [M+H]+; GPEtn(15:1(9Z)/21:0)-13C,13C-0,18	C41H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.1	18.1	10.0	1.0	764.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 37:4; [M+H]+; GPEtn(15:0/22:4(7Z,10Z,13Z,16Z))"-13C,13C-0,18	C42H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.8	18.8	10.0	1.0	772.5985	772.5929	-7.3	S10162	Yes	18.15	18.00	18.72	0.72	12	0	0	0	0	4756	0	0	0	4135	5810	0	0	0	0	5062	0	0	5695	0	9461	0	26020	0	4679	3986	3652	0	3670	4715	0	0	0	0	0
PE 34:1; [M+H]+; GPEtn(17:0/17:1(9Z))-13C,13C-0,18	C39H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.9	18.9	10.0	1.0	736.5985	736.5928	-7.8	SQ564_Blank_4	Yes	18.86	18.86	18.86	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5033	0	0	0	0	0	0	0
PE 38:1; [M+H]+; GPEtn(14:0/24:1(15Z))-13C,13C-0,18	C43H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	18.1	19.1	10.0	1.0	792.6611	792.6673	7.8	SQ564_LQC_1	Yes	18.31	18.31	18.62	0.31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3579	0	0	0	0	0	4024	0	0
"PE 38:7; [M+H]+; GPEtn(18:2(2E,4E)/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C43H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	18.2	19.2	10.0	1.0	780.5672	780.5673	0.1	SQ564_Blank_7	Yes	18.90	18.43	18.90	0.47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133	0	0	0	4527	0	0	0	0
"PE 34:3; [M+H]+; GPEtn(16:0/18:3(6Z,9Z,12Z))"-13C,13C-0,18	C39H72NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	18.2	19.2	10.0	1.0	732.5672	732.5673	0.1	S10156	Yes	18.53	18.53	18.53	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 41:6; [M+H]+; GPEtn(19:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C46H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	1.9	2.9	10.0	1.0	824.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 36:1; [M+H]+; GPEtn(18:0/18:1(11E))-13C,13C-0,18	C41H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	2.1	3.1	10.0	1.0	764.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 42:10; [M+H]+; GPEtn(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))"-13C,13C-0,18	C47H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	2.5	3.5	10.0	1.0	830.5829	830.5838	1.1	S10159	Yes	3.17	3.17	3.17	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 35:2; [M+H]+; GPEtn(17:0/18:2(2E,4E))"-13C,13C-0,18	C40H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	3.3	4.3	10.0	1.0	748.5985	748.5977	-1.1	S10161	Yes	3.80	3.80	3.80	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3852	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 34:1; [M+H]+; GPEtn(15:1(9Z)/19:0)-13C,13C-0,18	C39H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	3.3	4.3	10.0	1.0	736.5985	736.6036	6.9	S10143	Yes	3.89	3.89	3.89	0.00	1	0	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 36:1; [M+H]+; GPEtn(10:0/26:1(5Z))-13C,13C-0,18	C41H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	8.5	9.5	10.0	1.0	764.6298	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 36:1; [M+H]+; GPEtn(17:1(9Z)/19:0)-13C,13C-0,18	C41H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	10.8	11.8	10.0	1.0	764.6298	764.6365	8.7	S10144	Yes	11.21	11.21	11.21	0.00	1	0	0	0	2941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE 38:1; [M+H]+; GPEtn(12:0/26:1(5Z))-13C,13C-0,18	C43H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	10.8	11.8	10.0	1.0	792.6611	792.6657	5.8	S10161	Yes	11.07	11.07	11.07	0.00	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4532	0	0	0	4738	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 54:1; [M+NH4]+; TG(16:0/18:0/20:1)-13C,13C-0,18	C57H108O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	10.9	11.9	10.0	1.0	924.9088	924.9172	9.1	SQ564_Blank_6	Yes	11.61	11.61	11.61	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2440	0	0	0	0	0
PE 38:1; [M+H]+; GPEtn(18:0/20:1(11E))-13C,13C-0,18	C43H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	11.9	12.9	10.0	1.0	792.6611	792.6579	-4.1	SQ564_Blank_5	Yes	12.33	12.33	12.33	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2783	0	0	0	0	0	0
PE 38:1; [M+H]+; GPEtn(17:1(9Z)/21:0)-13C,13C-0,18	C43H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	12.7	13.7	10.0	1.0	792.6611	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 28:2; [M+H]+; GPEtn(10:0/18:2(2E,4E))"-13C,13C-0,18	C33H62NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	12.7	13.7	10.0	1.0	650.4890	650.4945	8.5	S10149	Yes	13.38	13.19	13.69	0.49	32	16381	13131	12982	18153	17322	16235	11550	17508	19862	15628	13714	0	14248	0	17627	8617	14906	9648	17436	11297	17740	15803	12733	14949	10185	11549	10421	10977	9718	10898	16439	11368	9565	12675
"PE 28:2; [M+H]+; GPEtn(11:0/17:2(9Z,12Z))"-13C,13C-0,18	C33H62NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	12.7	13.7	10.0	1.0	650.4890	650.4954	9.9	S10141	Yes	13.72	13.19	13.72	0.53	32	21361	20100	16172	18153	18640	16235	11550	17508	19862	15628	13714	0	14248	0	17627	8617	16255	9648	17436	18703	17740	15803	12733	14949	10799	11549	10421	11558	9718	10898	16439	11368	13660	12675
TG 56:3; [M+NH4]+; TG(18:1/18:1/20:1)-13C,13C-0,18	C59H108O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.8	13.8	10.0	1.0	948.9088	948.9124	3.8	SQ564_Blank_6	Yes	13.27	13.27	13.27	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3927	0	0	0	0	0
TG 52:1; [M+NH4]+; TG(16:0/18:0/18:1)-13C,13C-0,18	C55H104O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.8	13.8	10.0	1.0	896.8775	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 56:3; [M+NH4]+; TG(18:1/18:2/20:0)-13C,13C-0,18	C59H108O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.9	13.9	10.0	1.0	948.9088	948.9124	3.8	SQ564_Blank_6	Yes	13.27	13.27	13.27	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3927	0	0	0	0	0
"lysoPC 22:6; [M+Na]+; PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"-13C,13C-0,18	C30H50NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	12.9	13.9	10.0	1.0	608.3821	608.3782	-6.4	S10161	Yes	12.97	12.97	13.81	0.84	5	0	0	0	0	0	0	7859	0	0	0	0	0	0	0	14594	0	0	0	0	0	27369	0	2286	0	0	0	0	3674	0	0	0	0	0	0
"lysoPC 20:4; [M+Na]+; PC(20:4(5E,8E,11E,14E)/0:0)"-13C,13C-0,18	C28H50NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	12.9	13.9	10.0	1.0	584.3821	584.3790	-5.3	S10160	Yes	13.67	13.67	13.67	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysoPC 18:2; [M+Na]+; PC(18:2(2E,4E)/0:0)"-13C,13C-0,18	C26H50NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.0	14.0	10.0	1.0	560.3821	560.3873	9.3	S10144	Yes	13.81	13.73	13.81	0.07	2	0	0	0	9075	4926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysoPC 20:3; [M+Na]+; PC(20:3(5Z,8Z,11Z)/0:0)"-13C,13C-0,18	C28H52NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.0	14.0	10.0	1.0	586.3978	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysoPC 16:0; [M+Na]+; PC(16:0/0:0)-13C,13C-0,18	C24H50NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.1	14.1	10.0	1.0	536.3821	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysoPC 17:0; [M+Na]+; PC(17:0/0:0)-13C,13C-0,18	C25H52NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.2	14.2	10.0	1.0	550.3978	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysoPC 18:0; [M+Na]+; PC(18:0/0:0)-13C,13C-0,18	C26H54NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.2	14.2	10.0	1.0	564.4134	564.4160	4.6	S10144	Yes	13.69	13.29	14.17	0.88	3	0	3922	0	4988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3594	0	0	0	0
lysoPC 20:1; [M+Na]+; PC(20:1(11E)/0:0)-13C,13C-0,18	C28H56NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.2	14.2	10.0	1.0	590.4291	590.4249	-7.0	S10160	Yes	14.17	13.25	14.22	0.97	34	21320	15328	13030	14078	15551	16064	12688	12067	25187	13416	12795	14524	19840	16918	19079	16871	12822	15046	13961	75396	16645	15379	13648	10931	10883	12812	11686	11863	11871	10276	13910	12624	10557	11275
lysoPC 19:0; [M+Na]+; PC(19:0/0:0)-13C,13C-0,18	C27H56NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.2	14.2	10.0	1.0	578.4291	578.4318	4.8	SQ564_Blank_7	Yes	13.97	13.97	13.97	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3702	0	0	0	0
lysoPC 20:0; [M+Na]+; PC(20:0/0:0)-13C,13C-0,18	C28H58NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.2	14.2	10.0	1.0	592.4447	592.4454	1.2	S10154	Yes	13.71	13.71	13.71	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 52:3; [M+NH4]+; TG(16:0/18:1/18:2)-13C,13C-0,18	C55H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	13.2	14.2	10.0	1.0	892.8462	892.8549	9.7	S10162	Yes	13.25	13.25	13.64	0.39	3	5401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12644	14772	0	0	0	0	0	0	0	0	0	0	0	0
TG 52:4; [M+NH4]+; TG(16:1/18:1/18:2)-13C,13C-0,18	C55H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	13.4	14.4	10.0	1.0	890.8306	890.8264	-4.7	S10142	Yes	14.41	13.73	14.41	0.68	2	0	7101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3981	0	0
lysoPC 18:1; [M+Na]+; PC(18:1(11E)/0:0)-13C,13C-0,18	C26H52NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.6	14.6	10.0	1.0	562.3978	562.3992	2.6	S10146	Yes	13.66	13.66	14.05	0.40	2	0	0	0	0	0	3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3508	0	0	0	0	0	0	0	0	0	0
TG 54:1; [M+NH4]+; TG(16:0/18:1/20:0)-13C,13C-0,18	C57H108O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.2	18.2	10.0	1.0	924.9088	924.9079	-1.0	S10144	Yes	17.71	17.71	17.71	0.00	1	0	0	0	6176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 58:3; [M+NH4]+; TG(18:1/18:2/22:0)-13C,13C-0,18	C61H112O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.7	18.7	10.0	1.0	976.9401	976.9359	-4.3	S10152	Yes	18.14	17.70	18.14	0.44	3	0	0	0	0	0	0	0	0	0	0	0	63206	0	0	0	0	0	0	0	0	0	0	0	4097	0	0	0	0	0	0	0	0	0	5134
TG 56:4; [M+NH4]+; TG(18:1/18:2/20:1)-13C,13C-0,18	C59H106O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.7	18.7	10.0	1.0	946.8932	946.8887	-4.7	S10152	Yes	18.49	18.49	18.66	0.17	3	0	0	0	0	0	0	0	0	0	0	0	19063	0	0	0	8579	0	0	0	0	0	4744	0	0	0	0	0	0	0	0	0	0	0	0
TG 54:3; [M+NH4]+; TG(18:1/18:1/18:1)-13C,13C-0,18	C57H104O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.7	18.7	10.0	1.0	920.8775	920.8779	0.4	S10152	Yes	18.40	18.36	18.41	0.05	14	0	0	440758	57105	166495	93621	241028	202690	0	0	0	704404	339878	521367	52587	92659	89920	101506	55432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 51:3; [M+NH4]+; TG(16:0/17:1/18:2)-13C,13C-0,18	C54H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.7	18.7	10.0	1.0	878.8306	878.8297	-1.0	S10152	Yes	17.98	17.98	18.01	0.03	14	0	0	39747	24954	37479	26463	23501	33967	0	0	0	56463	33255	39537	22623	16025	14571	9937	8739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysoPE 16:0; [M+H]+; PE(16:0/0:0)-13C,13C-0,18	C21H44NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	17.9	18.9	10.0	1.0	472.3532	472.3517	-3.2	S10147	Yes	18.08	18.08	18.08	0.00	1	0	0	0	0	0	0	6896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DG 36:2; [M+NH4]+; DG(18:1/18:1/0:0)-13C,13C-0,18	C39H72O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	18.0	19.0	10.0	1.0	656.6322	656.6332	1.5	S10141	Yes	18.88	18.57	18.94	0.38	22	29500	15713	24687	14557	16727	22300	16576	24169	13165	19360	20815	9323	4414	12621	10841	9192	10101	4565	9923	20190	15058	15353	0	0	0	0	0	0	0	0	0	0	0	0
TG 55:3; [M+NH4]+; TG(18:1/18:2/19:0)-13C,13C-0,18	C58H106O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	18.2	19.2	10.0	1.0	934.8932	934.8851	-8.6	S10142	Yes	18.74	18.73	18.78	0.05	13	9847	31909	0	10404	0	0	10135	0	0	17222	0	6598	0	7923	7218	7071	0	6141	9222	17663	16971	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 60:12; [M+NH4]+; TG(20:4/20:4/20:4)-13C,13C-0,18	C63H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.4	2.4	10.0	1.0	986.8306	986.8344	3.9	S10156	Yes	1.69	1.54	2.33	0.78	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5939	4295	0	0	0	0	0	3285	0	2717	0	2899	0	0	0	0	0	0	2442
DG 36:3; [M+NH4]+; DG(18:1/18:2/0:0)-13C,13C-0,18	C39H70O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.7	2.7	10.0	1.0	654.6165	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 52:2; [M+NH4]+; TG(16:0/18:1/18:1)-13C,13C-0,18	C55H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.7	2.7	10.0	1.0	894.8619	894.8661	4.7	SQ564_Blank_4	Yes	2.55	1.73	2.55	0.83	8	0	0	0	0	0	0	0	0	0	0	0	0	2933	2808	2760	0	0	0	0	0	3156	0	0	0	0	0	3217	2529	2712	2670	0	0	0	0
DG 34:2; [M+NH4]+; DG(16:1/18:1/0:0)-13C,13C-0,18	C37H68O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.7	2.7	10.0	1.0	628.6009	628.5956	-8.4	S10157	Yes	2.03	2.03	2.03	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 50:4; [M+NH4]+; TG(16:1/16:1/18:2)-13C,13C-0,18	C53H94O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.9	2.9	10.0	1.0	862.7993	862.7925	-7.8	S10147	Yes	2.81	1.95	2.81	0.86	7	0	0	0	0	0	0	29041	0	5719	0	0	0	0	0	0	0	0	0	0	0	0	2772	2639	0	0	0	3905	0	0	2307	2406	0	0	0
lysoPE 18:0; [M+H]+; PE(18:0/0:0)-13C,13C-0,18	C23H48NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	2.1	3.1	10.0	1.0	500.3845	500.3799	-9.2	SQ564_Blank_3	Yes	2.64	2.64	2.64	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2061	0	0	0	0	0	0	0	0
DG 34:2; [M+NH4]+; DG(16:0/18:2/0:0)-13C,13C-0,18	C37H68O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.1	3.1	10.0	1.0	628.6009	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 58:3; [M+NH4]+; TG(18:1/20:1/20:1)-13C,13C-0,18	C61H112O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.3	3.3	10.0	1.0	976.9401	976.9380	-2.2	S10146	Yes	3.16	2.70	3.16	0.46	5	0	0	0	0	0	2906	0	0	0	0	0	0	0	2386	0	0	0	0	0	0	2528	0	0	0	0	0	2440	0	0	0	2639	0	0	0
"plasmenyl-PE 36:4; [M-H]-; PE(P-16:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C41H74NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	2.4	3.4	10.0	1.0	740.5734	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 51:2; [M+NH4]+; TG(16:0/17:1/18:1)-13C,13C-0,18	C54H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.6	3.6	10.0	1.0	880.8462	880.8463	0.1	S10142	Yes	3.15	2.67	3.21	0.54	8	0	3597	0	0	0	0	0	0	0	0	0	2557	0	0	0	0	0	0	0	0	0	0	2077	0	0	0	3423	2754	2596	2770	0	0	2938	0
TG 54:4; [M+NH4]+; TG(18:1/18:1/18:2)-13C,13C-0,18	C57H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	3.3	4.3	10.0	1.0	918.8619	918.8600	-2.0	SQ564_Blank_1	Yes	3.54	3.36	4.09	0.73	5	0	0	0	0	0	0	0	0	0	2440	0	0	0	0	0	0	0	0	0	0	0	0	0	3284	2704	0	0	0	0	2374	2589	0	0	0
DG 34:1; [M+NH4]+; DG(16:0/18:1/0:0)-13C,13C-0,18	C37H70O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	8.3	9.3	10.0	1.0	630.6165	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 53:4; [M+NH4]+; TG(17:1/18:1/18:2)-13C,13C-0,18	C56H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	9.3	10.3	10.0	1.0	904.8462	904.8470	0.9	S10147	Yes	9.63	9.36	10.19	0.83	9	0	0	0	3986	3823	3671	141282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3474	3692	0	0	0	2758	0	2883	0	0	0	3139
TG 52:3; [M+NH4]+; TG(16:1/18:1/18:1)-13C,13C-0,18	C55H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	10.1	11.1	10.0	1.0	892.8462	892.8479	1.9	S10145	Yes	10.77	10.48	10.89	0.41	5	0	0	0	0	4824	0	0	0	0	2786	3055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2704	0	0	0	0	2579
lysoPE 16:0; [M-H]-; PE(16:0/0:0)-13C,13C-0,18	C21H44NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	11.9	12.9	10.0	1.0	470.3387	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysoPE 18:0; [M-H]-; PE(18:0/0:0)-13C,13C-0,18	C23H48NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	12.0	13.0	10.0	1.0	498.3700	498.3741	8.3	SQ564_Blank_1	Yes	12.80	12.80	12.80	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	0	0	0	0	0	0
TG 52:4; [M+NH4]+; TG(16:0/16:0/20:4)-13C,13C-0,18	C55H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.0	13.0	10.0	1.0	890.8306	890.8241	-7.2	SQ564_Blank_2	Yes	12.29	12.29	12.29	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2693	0	0	0	0	0	0	0	0	0
TG 58:4; [M+NH4]+; TG(18:1/18:2/22:1)-13C,13C-0,18	C61H110O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.3	13.3	10.0	1.0	974.9245	974.9341	9.9	SQ564_LQC_2	Yes	12.84	12.84	12.84	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3856	0
DG 28:2; [M+NH4]+; DG(14:1/14:1/0:0)-13C,13C-0,18	C31H56O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	12.3	13.3	10.0	1.0	544.5070	544.5076	1.1	SQ564_LQC_1	Yes	13.30	13.23	13.30	0.07	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22308	27960	18479	19608
