Metabolite	Formula	Polarity (z)	Labeling	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S04426	S04427	S04428	S04429	S04430	S04431	S04432	S04433	S04434	S04435	SQ319_B_0	SQ319_B_1	SQ319_B_2	SQ319_B_3	SQ319_B_4	SQ319_B_5
Guanosine triphosphate-13C-8	C10H16N5O14P3-13C-8	-	13C	ESI	15.0	17.0	10.0	0.2	530.0102	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guanosine triphosphate-13C-9	C10H16N5O14P3-13C-9	-	13C	ESI	15.0	17.0	10.0	0.2	531.0136	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guanosine triphosphate-13C-10	C10H16N5O14P3-13C-10	-	13C	ESI	15.0	17.0	10.0	0.2	532.0169	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-0	C10H17N3O6S-13C-0	+	13C	ESI	10.0	13.0	10.0	0.2	308.0911	308.0901	-3.2	S04435	Yes	10.71	10.69	10.78	0.09	10	63512	67810	60018	51800	53301	65422	59725	69709	70928	114809	0	0	0	0	0	0
Glutathione-13C-1	C10H17N3O6S-13C-1	+	13C	ESI	10.0	13.0	10.0	0.2	309.0944	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-2	C10H17N3O6S-13C-2	+	13C	ESI	10.0	13.0	10.0	0.2	310.0978	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-3	C10H17N3O6S-13C-3	+	13C	ESI	10.0	13.0	10.0	0.2	311.1011	311.1035	7.6	S04432	No	10.71	10.71	10.71	0.00	1	0	0	0	0	0	0	5590	0	0	0	0	0	0	0	0	0
Glutathione-13C-4	C10H17N3O6S-13C-4	+	13C	ESI	10.0	13.0	10.0	0.2	312.1045	312.1062	5.4	S04430	No	10.74	10.71	10.78	0.07	3	0	4882	0	0	6634	0	0	0	0	6554	0	0	0	0	0	0
Glutathione-13C-5	C10H17N3O6S-13C-5	+	13C	ESI	10.0	13.0	10.0	0.2	313.1079	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-6	C10H17N3O6S-13C-6	+	13C	ESI	10.0	13.0	10.0	0.2	314.1112	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-7	C10H17N3O6S-13C-7	+	13C	ESI	10.0	13.0	10.0	0.2	315.1146	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-8	C10H17N3O6S-13C-8	+	13C	ESI	10.0	13.0	10.0	0.2	316.1179	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione-13C-9	C10H17N3O6S-13C-9	+	13C	ESI	10.0	13.0	10.0	0.2	317.1213	317.1200	-4.0	S04435	No	10.71	10.71	10.71	0.00	1	0	0	0	0	0	0	0	0	0	4108	0	0	0	0	0	0
Glutathione-13C-10	C10H17N3O6S-13C-10	+	13C	ESI	10.0	13.0	10.0	0.2	318.1246	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-0	C10H18N4O6-13C-0	-	13C	ESI	12.5	14.5	10.0	0.2	289.1154	289.1138	-5.4	S04434	Yes	13.78	13.70	13.81	0.11	10	8086	5500	7417	7195	10245	0	17041	17132	17893	12446	0	0	0	0	4706	0
Argininosuccinic acid-13C-1	C10H18N4O6-13C-1	-	13C	ESI	12.5	14.5	10.0	0.2	290.1187	290.1165	-7.6	SQ319_B_3	No	13.74	13.58	13.80	0.22	4	0	0	0	0	0	0	0	0	0	0	4812	3622	3222	4942	0	0
Argininosuccinic acid-13C-2	C10H18N4O6-13C-2	-	13C	ESI	12.5	14.5	10.0	0.2	291.1221	291.1211	-3.3	S04431	No	13.66	13.66	13.88	0.22	6	3355	0	0	0	3004	6689	4145	3366	0	0	0	0	0	0	0	3765
Argininosuccinic acid-13C-3	C10H18N4O6-13C-3	-	13C	ESI	12.5	14.5	10.0	0.2	292.1254	292.1231	-8.0	S04432	No	13.78	13.70	13.78	0.08	2	0	0	0	0	0	0	2110	1447	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-4	C10H18N4O6-13C-4	-	13C	ESI	12.5	14.5	10.0	0.2	293.1288	293.1261	-9.1	SQ319_B_4	No	13.73	13.73	13.78	0.05	3	0	0	0	0	0	0	2551	0	0	0	0	0	0	3542	5547	0
Argininosuccinic acid-13C-5	C10H18N4O6-13C-5	-	13C	ESI	12.5	14.5	10.0	0.2	294.1321	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-6	C10H18N4O6-13C-6	-	13C	ESI	12.5	14.5	10.0	0.2	295.1355	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-7	C10H18N4O6-13C-7	-	13C	ESI	12.5	14.5	10.0	0.2	296.1388	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-8	C10H18N4O6-13C-8	-	13C	ESI	12.5	14.5	10.0	0.2	297.1422	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-9	C10H18N4O6-13C-9	-	13C	ESI	12.5	14.5	10.0	0.2	298.1456	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argininosuccinic acid-13C-10	C10H18N4O6-13C-10	-	13C	ESI	12.5	14.5	10.0	0.2	299.1489	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-0	C10H19NO4-13C-0	+	13C	ESI	5.2	7.2	10.0	0.2	218.1387	218.1370	-7.7	SQ319_B_3	Yes	5.74	5.50	5.98	0.48	16	18151	13701	19509	21421	12329	9243	19866	20470	20179	24104	14267	17790	17874	30971	20515	17396
Propionylcarnitine-13C-1	C10H19NO4-13C-1	+	13C	ESI	5.2	7.2	10.0	0.2	219.1420	219.1404	-7.5	S04433	No	5.50	5.50	5.50	0.00	1	0	0	0	0	0	0	0	3130	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-2	C10H19NO4-13C-2	+	13C	ESI	5.2	7.2	10.0	0.2	220.1454	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-3	C10H19NO4-13C-3	+	13C	ESI	5.2	7.2	10.0	0.2	221.1487	221.1495	3.4	S04426	No	5.73	5.73	5.73	0.00	1	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-4	C10H19NO4-13C-4	+	13C	ESI	5.2	7.2	10.0	0.2	222.1521	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-5	C10H19NO4-13C-5	+	13C	ESI	5.2	7.2	10.0	0.2	223.1555	223.1534	-9.2	SQ319_B_3	No	5.74	5.54	5.98	0.44	15	20708	18347	8550	3752	17238	20001	12795	0	24037	10989	21765	11424	8341	30667	11143	11429
Propionylcarnitine-13C-6	C10H19NO4-13C-6	+	13C	ESI	5.2	7.2	10.0	0.2	224.1588	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-7	C10H19NO4-13C-7	+	13C	ESI	5.2	7.2	10.0	0.2	225.1622	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-8	C10H19NO4-13C-8	+	13C	ESI	5.2	7.2	10.0	0.2	226.1655	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-9	C10H19NO4-13C-9	+	13C	ESI	5.2	7.2	10.0	0.2	227.1689	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionylcarnitine-13C-10	C10H19NO4-13C-10	+	13C	ESI	5.2	7.2	10.0	0.2	228.1722	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-0	C11H12N2O2-13C-0	+	13C	ESI	6.8	8.8	10.0	0.2	205.0972	205.0963	-4.2	S04435	Yes	8.16	8.16	8.22	0.07	10	1280004	1318036	1014902	993361	1134686	876164	2316634	1275974	1487906	2382741	0	0	0	0	0	0
L-Tryptophan-13C-1	C11H12N2O2-13C-1	+	13C	ESI	6.8	8.8	10.0	0.2	206.1005	206.1000	-2.5	S04432	No	8.19	7.97	8.33	0.36	12	66563	74201	56760	46004	69421	67011	120322	56567	81443	105955	0	0	0	0	3218	2653
L-Tryptophan-13C-2	C11H12N2O2-13C-2	+	13C	ESI	6.8	8.8	10.0	0.2	207.1039	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-3	C11H12N2O2-13C-3	+	13C	ESI	6.8	8.8	10.0	0.2	208.1072	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-4	C11H12N2O2-13C-4	+	13C	ESI	6.8	8.8	10.0	0.2	209.1106	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-5	C11H12N2O2-13C-5	+	13C	ESI	6.8	8.8	10.0	0.2	210.1139	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-6	C11H12N2O2-13C-6	+	13C	ESI	6.8	8.8	10.0	0.2	211.1173	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-7	C11H12N2O2-13C-7	+	13C	ESI	6.8	8.8	10.0	0.2	212.1206	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-8	C11H12N2O2-13C-8	+	13C	ESI	6.8	8.8	10.0	0.2	213.1240	213.1228	-5.6	S04431	No	8.20	7.97	8.38	0.40	11	0	36187	0	0	44319	57289	0	43072	37042	0	38967	32349	41024	30488	36682	32272
L-Tryptophan-13C-9	C11H12N2O2-13C-9	+	13C	ESI	6.8	8.8	10.0	0.2	214.1273	214.1255	-8.6	S04431	No	8.20	8.20	8.38	0.17	2	0	0	0	0	0	6168	0	0	0	0	0	0	3617	0	0	0
L-Tryptophan-13C-10	C11H12N2O2-13C-10	+	13C	ESI	6.8	8.8	10.0	0.2	215.1307	215.1294	-6.1	S04432	No	8.19	8.19	8.19	0.00	1	0	0	0	0	0	0	6316	0	0	0	0	0	0	0	0	0
L-Tryptophan-13C-11	C11H12N2O2-13C-11	+	13C	ESI	6.8	8.8	10.0	0.2	216.1341	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-0	C11H13NO3-13C-0	+	13C	ESI	2.8	4.0	10.0	0.2	208.0968	208.0966	-1.1	S04431	No	3.27	3.27	3.28	0.02	2	4363	0	0	0	0	4805	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-1	C11H13NO3-13C-1	+	13C	ESI	2.8	4.0	10.0	0.2	209.1002	209.1018	7.8	SQ319_B_3	No	3.28	3.28	3.28	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13569	0	0
N-Acetyl-L-phenylalanine-13C-2	C11H13NO3-13C-2	+	13C	ESI	2.8	4.0	10.0	0.2	210.1035	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-3	C11H13NO3-13C-3	+	13C	ESI	2.8	4.0	10.0	0.2	211.1069	211.1089	9.5	S04427	Yes	3.09	3.09	3.09	0.00	1	0	106730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-4	C11H13NO3-13C-4	+	13C	ESI	2.8	4.0	10.0	0.2	212.1102	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-5	C11H13NO3-13C-5	+	13C	ESI	2.8	4.0	10.0	0.2	213.1136	213.1120	-7.5	S04433	No	3.33	3.28	3.33	0.04	2	6620	0	0	0	0	0	0	7479	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-6	C11H13NO3-13C-6	+	13C	ESI	2.8	4.0	10.0	0.2	214.1169	214.1167	-1.2	SQ319_B_1	No	2.94	2.94	3.13	0.19	2	0	0	0	0	0	0	0	0	0	0	0	10043	7556	0	0	0
N-Acetyl-L-phenylalanine-13C-7	C11H13NO3-13C-7	+	13C	ESI	2.8	4.0	10.0	0.2	215.1203	215.1209	2.8	S04434	No	3.18	3.18	3.18	0.00	1	0	0	0	0	0	0	0	0	13378	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-8	C11H13NO3-13C-8	+	13C	ESI	2.8	4.0	10.0	0.2	216.1237	216.1227	-4.4	S04431	No	3.27	2.94	3.33	0.39	16	15894	10611	21142	22095	21460	33899	20490	19555	20558	15068	14696	33714	23556	16614	10686	26444
N-Acetyl-L-phenylalanine-13C-9	C11H13NO3-13C-9	+	13C	ESI	2.8	4.0	10.0	0.2	217.1270	217.1277	3.2	SQ319_B_1	No	2.94	2.94	3.27	0.33	3	0	0	0	0	0	5169	0	0	0	0	0	11896	8333	0	0	0
N-Acetyl-L-phenylalanine-13C-10	C11H13NO3-13C-10	+	13C	ESI	2.8	4.0	10.0	0.2	218.1304	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-phenylalanine-13C-11	C11H13NO3-13C-11	+	13C	ESI	2.8	4.0	10.0	0.2	219.1337	219.1348	4.9	SQ319_B_1	No	2.94	2.94	3.28	0.34	5	0	0	0	0	0	5077	9059	0	0	0	0	17306	6839	4244	0	0
5'-Methylthioadenosine-13C-0	C11H15N5O3S-13C-0	+	13C	ESI	3.0	5.0	10.0	0.2	298.0968	298.0956	-4.1	S04434	No	4.27	4.17	4.30	0.13	3	0	0	0	0	0	0	0	3820	10175	8052	0	0	0	0	0	0
5'-Methylthioadenosine-13C-1	C11H15N5O3S-13C-1	+	13C	ESI	3.0	5.0	10.0	0.2	299.1002	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5'-Methylthioadenosine-13C-2	C11H15N5O3S-13C-2	+	13C	ESI	3.0	5.0	10.0	0.2	300.1035	300.1065	9.8	SQ319_B_2	No	4.16	4.16	4.16	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	2010	0	0	0
5'-Methylthioadenosine-13C-3	C11H15N5O3S-13C-3	+	13C	ESI	3.0	5.0	10.0	0.2	301.1069	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5'-Methylthioadenosine-13C-4	C11H15N5O3S-13C-4	+	13C	ESI	3.0	5.0	10.0	0.2	302.1103	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5'-Methylthioadenosine-13C-5	C11H15N5O3S-13C-5	+	13C	ESI	3.0	5.0	10.0	0.2	303.1136	303.1130	-2.0	S04434	No	4.27	4.17	4.42	0.25	10	15818	15516	26573	10377	22734	12909	31958	25201	37260	35294	0	0	0	0	0	0
5'-Methylthioadenosine-13C-6	C11H15N5O3S-13C-6	+	13C	ESI	3.0	5.0	10.0	0.2	304.1170	304.1161	-2.8	S04433	Yes	4.17	4.17	4.42	0.25	10	25361	11106	13603	17080	13068	18741	29320	42758	19337	37129	0	0	0	0	0	0
5'-Methylthioadenosine-13C-7	C11H15N5O3S-13C-7	+	13C	ESI	3.0	5.0	10.0	0.2	305.1203	305.1193	-3.3	S04433	No	4.17	4.17	4.42	0.25	10	10278	9861	15611	10887	12626	12395	23543	27442	16708	17600	0	0	0	0	0	0
5'-Methylthioadenosine-13C-8	C11H15N5O3S-13C-8	+	13C	ESI	3.0	5.0	10.0	0.2	306.1237	306.1226	-3.5	S04433	No	4.17	4.17	4.42	0.25	9	9321	2371	3135	0	3910	2327	17421	21450	10359	11945	0	0	0	0	0	0
5'-Methylthioadenosine-13C-9	C11H15N5O3S-13C-9	+	13C	ESI	3.0	5.0	10.0	0.2	307.1270	307.1263	-2.4	S04433	No	4.17	3.99	4.24	0.25	3	0	0	0	0	0	0	3170	10714	0	0	0	0	0	2099	0	0
5'-Methylthioadenosine-13C-10	C11H15N5O3S-13C-10	+	13C	ESI	3.0	5.0	10.0	0.2	308.1304	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5'-Methylthioadenosine-13C-11	C11H15N5O3S-13C-11	+	13C	ESI	3.0	5.0	10.0	0.2	309.1337	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-0	C11H20N2O6-13C-0	-	13C	ESI	11.0	14.0	10.0	0.2	275.1249	275.1253	1.6	S04430	No	11.04	11.01	11.38	0.37	11	9243	7497	8671	7626	9368	0	0	0	0	0	6885	5412	6455	5829	5955	4175
Saccharopine-13C-1	C11H20N2O6-13C-1	-	13C	ESI	11.0	14.0	10.0	0.2	276.1282	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-2	C11H20N2O6-13C-2	-	13C	ESI	11.0	14.0	10.0	0.2	277.1316	277.1335	7.0	S04434	Yes	11.13	11.04	11.13	0.09	5	0	0	0	0	0	7317	23327	25270	33026	22298	0	0	0	0	0	0
Saccharopine-13C-3	C11H20N2O6-13C-3	-	13C	ESI	11.0	14.0	10.0	0.2	278.1349	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-4	C11H20N2O6-13C-4	-	13C	ESI	11.0	14.0	10.0	0.2	279.1383	279.1360	-8.2	SQ319_B_5	No	11.35	11.35	11.35	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3955
Saccharopine-13C-5	C11H20N2O6-13C-5	-	13C	ESI	11.0	14.0	10.0	0.2	280.1416	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-6	C11H20N2O6-13C-6	-	13C	ESI	11.0	14.0	10.0	0.2	281.1450	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-7	C11H20N2O6-13C-7	-	13C	ESI	11.0	14.0	10.0	0.2	282.1483	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-8	C11H20N2O6-13C-8	-	13C	ESI	11.0	14.0	10.0	0.2	283.1517	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-9	C11H20N2O6-13C-9	-	13C	ESI	11.0	14.0	10.0	0.2	284.1551	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-10	C11H20N2O6-13C-10	-	13C	ESI	11.0	14.0	10.0	0.2	285.1584	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharopine-13C-11	C11H20N2O6-13C-11	-	13C	ESI	11.0	14.0	10.0	0.2	286.1618	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-0	C11H21NO4-13C-0	+	13C	ESI	4.2	6.2	10.0	0.2	232.1543	232.1540	-1.4	S04434	No	5.93	5.56	6.04	0.48	15	9103	0	3345	5129	13096	3566	10643	4297	13175	9273	10678	5370	8616	11705	2700	7889
Butyrylcarnitine-13C-1	C11H21NO4-13C-1	+	13C	ESI	4.2	6.2	10.0	0.2	233.1577	233.1576	-0.4	S04434	No	5.93	5.93	5.93	0.00	1	0	0	0	0	0	0	0	0	2136	0	0	0	0	0	0	0
Butyrylcarnitine-13C-2	C11H21NO4-13C-2	+	13C	ESI	4.2	6.2	10.0	0.2	234.1610	234.1592	-7.9	S04432	No	5.76	5.60	5.94	0.33	8	3210	4004	11533	9237	0	10388	13206	4141	0	3566	0	0	0	0	0	0
Butyrylcarnitine-13C-3	C11H21NO4-13C-3	+	13C	ESI	4.2	6.2	10.0	0.2	235.1644	235.1627	-7.2	S04428	No	5.81	5.75	5.81	0.06	2	0	0	2797	0	0	2355	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-4	C11H21NO4-13C-4	+	13C	ESI	4.2	6.2	10.0	0.2	236.1678	236.1669	-3.6	S04428	Yes	5.81	5.60	5.93	0.33	9	26414	33662	35216	28438	30729	28736	31210	25457	10847	0	0	0	0	0	0	0
Butyrylcarnitine-13C-5	C11H21NO4-13C-5	+	13C	ESI	4.2	6.2	10.0	0.2	237.1711	237.1693	-7.6	S04435	No	5.94	5.56	6.04	0.48	13	0	13857	15418	0	12089	13011	0	13053	14952	17807	17697	14334	14803	16096	17400	13923
Butyrylcarnitine-13C-6	C11H21NO4-13C-6	+	13C	ESI	4.2	6.2	10.0	0.2	238.1745	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-7	C11H21NO4-13C-7	+	13C	ESI	4.2	6.2	10.0	0.2	239.1778	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-8	C11H21NO4-13C-8	+	13C	ESI	4.2	6.2	10.0	0.2	240.1812	240.1798	-5.7	S04433	No	5.76	5.60	5.93	0.33	10	4778	0	0	3546	3384	3772	0	9271	4223	0	0	3444	3382	0	2927	2915
Butyrylcarnitine-13C-9	C11H21NO4-13C-9	+	13C	ESI	4.2	6.2	10.0	0.2	241.1845	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-10	C11H21NO4-13C-10	+	13C	ESI	4.2	6.2	10.0	0.2	242.1879	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrylcarnitine-13C-11	C11H21NO4-13C-11	+	13C	ESI	4.2	6.2	10.0	0.2	243.1912	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-0	C12H23NO4-13C-0	+	13C	ESI	3.6	5.7	10.0	0.2	246.1700	246.1685	-6.0	S04432	No	3.73	3.65	3.86	0.21	14	14683	14735	12917	10201	11779	9525	18851	11754	4642	11394	0	17515	14781	8983	0	10256
Valerylcarnitine-13C-1	C12H23NO4-13C-1	+	13C	ESI	3.6	5.7	10.0	0.2	247.1733	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-2	C12H23NO4-13C-2	+	13C	ESI	3.6	5.7	10.0	0.2	248.1767	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-3	C12H23NO4-13C-3	+	13C	ESI	3.6	5.7	10.0	0.2	249.1800	249.1823	9.0	SQ319_B_0	No	3.77	3.77	3.77	0.00	1	0	0	0	0	0	0	0	0	0	0	2795	0	0	0	0	0
Valerylcarnitine-13C-4	C12H23NO4-13C-4	+	13C	ESI	3.6	5.7	10.0	0.2	250.1834	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-5	C12H23NO4-13C-5	+	13C	ESI	3.6	5.7	10.0	0.2	251.1868	251.1856	-4.6	SQ319_B_0	No	3.77	3.69	3.86	0.17	4	0	0	0	0	3184	0	0	0	0	0	9695	0	3469	0	2815	0
Valerylcarnitine-13C-6	C12H23NO4-13C-6	+	13C	ESI	3.6	5.7	10.0	0.2	252.1901	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-7	C12H23NO4-13C-7	+	13C	ESI	3.6	5.7	10.0	0.2	253.1935	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-8	C12H23NO4-13C-8	+	13C	ESI	3.6	5.7	10.0	0.2	254.1968	254.1960	-3.2	SQ319_B_4	No	3.69	3.69	3.86	0.17	6	0	5301	0	0	2724	4663	0	0	0	0	0	0	4192	2303	8887	0
Valerylcarnitine-13C-9	C12H23NO4-13C-9	+	13C	ESI	3.6	5.7	10.0	0.2	255.2002	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-10	C12H23NO4-13C-10	+	13C	ESI	3.6	5.7	10.0	0.2	256.2035	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valerylcarnitine-13C-11	C12H23NO4-13C-11	+	13C	ESI	3.6	5.7	10.0	0.2	257.2069	257.2076	2.8	S04434	Yes	3.66	3.66	3.66	0.00	2	0	0	0	0	0	0	0	0	20906	0	0	3459	0	0	0	0
Valerylcarnitine-13C-12	C12H23NO4-13C-12	+	13C	ESI	3.6	5.7	10.0	0.2	258.2102	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
